Gene.stable.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene.name
ENSG00000010030,26.4837992909002,1.21265780320135,0.320892454275449,3.77901626244047,0.000157449142496121,0.0320509504432264,ETV7
ENSG00000055332,982.83930256156,0.728698313860162,0.171100141155354,4.25889954818054,2.05435757177864e-05,0.0115618035694072,EIF2AK2
ENSG00000064763,105.685535180867,0.649649671384165,0.149570338461692,4.34343920101881,1.40269310143172e-05,0.00894684416529867,FAR2
ENSG00000072840,17.3306730923509,0.972805671632842,0.245556332741406,3.96163951779366,7.44368656670537e-05,0.0216279990933597,EVC
ENSG00000078081,40.3617203288719,1.17214223917258,0.292575268765056,4.0062929588004,6.16791410393147e-05,0.0203487993756429,LAMP3
ENSG00000089127,336.208787549104,0.988717437513174,0.264374113814587,3.73984208683377,0.000184135897563822,0.0329653668349867,OAS1
ENSG00000104432,12.3218770244288,1.2043788540681,0.259865856541048,4.63461752959399,3.57598021023966e-06,0.0036184174851377,IL7
ENSG00000111424,11.5425770168339,0.823450437344895,0.219175268497165,3.7570408513292,0.000171934437833317,0.0329653668349867,VDR
ENSG00000111537,50.9674080403727,1.09214230896161,0.287914040950795,3.79329297506632,0.000148662580610622,0.0312599832965303,IFNG
ENSG00000115415,5044.75780933075,0.557245392134561,0.14122479975046,3.94580408766164,7.95326245166764e-05,0.0220144849390797,STAT1
ENSG00000119917,201.365710657704,1.57696448036879,0.379284574065221,4.15773429292596,3.21419559852757e-05,0.0153759081944563,IFIT3
ENSG00000119922,231.257646328569,0.769213817088127,0.155165697443253,4.95737028069261,7.1453718208467e-07,0.00151918544213224,IFIT2
ENSG00000132530,1497.64733134336,0.820031965025451,0.19433151381327,4.21975802552233,2.44564671754402e-05,0.0129992916500569,XAF1
ENSG00000133106,692.975267882676,0.865330785076891,0.20487418840049,4.22371794042367,2.40304767229404e-05,0.0129992916500569,EPSTI1
ENSG00000134321,274.199853801999,1.39492899703797,0.304048454963421,4.58785096344523,4.47832151227464e-06,0.00410594571763199,RSAD2
ENSG00000134326,178.862048591729,1.10528481619874,0.276507832588665,3.99730020611375,6.40690268092064e-05,0.0207789970846469,CMPK2
ENSG00000135002,156.96673057379,0.50192370955078,0.128974666660947,3.89164572039759,9.95665605903582e-05,0.0247429368428117,RFK
ENSG00000135114,172.594079770318,1.00475515918163,0.244116821846455,4.11587842075712,3.8570759432423e-05,0.0163114994733259,OASL
ENSG00000137628,1428.58640190372,0.574077101879211,0.154556474212195,3.714351694456,0.000203725303270746,0.0360952192415345,DDX60
ENSG00000137959,1272.76572789938,1.80844899128136,0.408606128075869,4.42589786843718,9.60419592768529e-06,0.00680652922504659,IFI44L
ENSG00000137965,751.56524894787,1.06262139758802,0.249012726487968,4.26733770829727,1.97819583965176e-05,0.0114705386035565,IFI44
ENSG00000138160,73.7708788219033,0.816878046255314,0.215899255721471,3.78360751418781,0.000154571508271442,0.0318035033416565,KIF11
ENSG00000138496,1072.91506545364,0.613327004944036,0.152716101817328,4.0161253308945,5.91628008901195e-05,0.0201488929264231,PARP9
ENSG00000138646,399.12615712035,0.655603181862261,0.163380782843141,4.01273130446248,6.00202193261624e-05,0.0201488929264231,HERC5
ENSG00000142945,16.3839207095348,0.922445935185664,0.255914879640034,3.60450293661378,0.000312750913014331,0.0460345286194556,KIF2C
ENSG00000143476,18.5150347486886,1.26854268743605,0.33793416437608,3.75381604218126,0.000174162699955599,0.0329653668349867,DTL
ENSG00000148175,1191.04955594309,0.548124004202325,0.145699899308634,3.76200674676679,0.000168555499846788,0.0329653668349867,STOM
ENSG00000148773,104.840564507387,0.978686210079133,0.273195896309518,3.58236058191126,0.000340503349576485,0.0486233701055674,MKI67
ENSG00000153898,259.298457431542,0.743522931167783,0.171173539944381,4.34367911891857,1.40116133351627e-05,0.00894684416529867,MCOLN2
ENSG00000154451,4590.41022404757,0.577830250684254,0.117451571227354,4.9197319767288,8.6662801797614e-07,0.00155658909267954,GBP5
ENSG00000154839,10.3189425780432,1.10434356895366,0.281823332305166,3.91856685506027,8.90770236160589e-05,0.0233491622862094,SKA1
ENSG00000165259,18.4690685288993,0.91242564343054,0.226882283358779,4.02158172036589,5.78086451458161e-05,0.0201121531793671,HDX
ENSG00000165949,24.1350107562887,2.87502683290064,0.516863272736342,5.56245139585924,2.66011133801116e-08,0.000254506152264218,IFI27
ENSG00000170385,170.172159400897,0.530262766058634,0.127032710580648,4.17422224271905,2.99005765137727e-05,0.0146704495279754,SLC30A1
ENSG00000171848,48.0608796804804,1.15783784498377,0.316696368233969,3.65598712558769,0.000256194212644776,0.0411955988147713,RRM2
ENSG00000172348,24.466356943768,1.60721223024741,0.408873572516586,3.93082932789014,8.4653351175958e-05,0.022651657633894,RCAN2
ENSG00000177409,1799.18596031602,0.662059901650042,0.151881257541128,4.35906254904929,1.30620778187066e-05,0.00892653068074824,SAMD9L
ENSG00000181847,975.127712445357,0.515615759640941,0.134638747186213,3.82962386695277,0.000128339271238834,0.0288914347665305,TIGIT
ENSG00000184661,11.4956521154914,1.32586852558216,0.345248634921671,3.84032952333896,0.000122869271917177,0.0285793112241469,CDCA2
ENSG00000184979,116.535677238437,1.2470691759904,0.251434487958549,4.95981750998293,7.05594327306789e-07,0.00151918544213224,USP18
ENSG00000188313,178.592441580156,0.822953415918832,0.165452723951314,4.97394903066687,6.56025643954192e-07,0.00151918544213224,PLSCR1
