"","Gene.stable.ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.name"
"41","ENSG00000172348",24.466356943768,1.60721223024741,0.408873572516586,3.93082932789014,8.4653351175958e-05,0.022651657633894,"RCAN2"
"42","ENSG00000177409",1799.18596031602,0.662059901650042,0.151881257541128,4.35906254904929,1.30620778187066e-05,0.00892653068074824,"SAMD9L"
"43","ENSG00000181847",975.127712445357,0.515615759640941,0.134638747186213,3.82962386695277,0.000128339271238834,0.0288914347665305,"TIGIT"
"44","ENSG00000184661",11.4956521154914,1.32586852558216,0.345248634921671,3.84032952333896,0.000122869271917177,0.0285793112241469,"CDCA2"
"45","ENSG00000184979",116.535677238437,1.2470691759904,0.251434487958549,4.95981750998293,7.05594327306789e-07,0.00151918544213224,"USP18"
"46","ENSG00000188313",178.592441580156,0.822953415918832,0.165452723951314,4.97394903066687,6.56025643954192e-07,0.00151918544213224,"PLSCR1"
"47","ENSG00000196141",95.2765638639342,0.814055356987524,0.21736073237669,3.74518133099015,0.000180263528314009,0.0329653668349867,"SPATS2L"
"48","ENSG00000197121",281.869759660458,0.642327909475961,0.177487952338512,3.61899442194751,0.000295750012512363,0.0449140991224133,"PGAP1"
"49","ENSG00000197763",22.3277820532384,-0.710814540563555,0.168747124190685,-4.21230609986769,2.52776676951557e-05,0.0130726532796434,"TXNRD3"
"50","ENSG00000199477",36.8341800395795,-1.97988460912646,0.387199193071473,-5.11334900628524,3.16496759476036e-07,0.00117621448551676,"SNORA31"
"51","ENSG00000200259",6.81435039272851,-1.79515222251246,0.4980068602029,-3.6046736821679,0.00031254537932445,0.0460345286194556,"SNORD35A"
"52","ENSG00000200354",55.4973245303461,-1.27125697437641,0.286041204734169,-4.44431415242377,8.81726880901704e-06,0.00648917071771312,"SNORA71D"
"53","ENSG00000200394",103.767099857738,-1.13871892089076,0.288761635321719,-3.94345640694989,8.03155962264006e-05,0.0220144849390797,"SNORA38B"
"55","ENSG00000200534",17.409938155171,-1.7027213607148,0.449366089069285,-3.78916300569415,0.000151155709700635,0.0314387446208876,"SNORA33"
"56","ENSG00000200913",33.2969933509847,-1.79016043844858,0.369262453288663,-4.8479351813469,1.24753145967735e-06,0.00183627034468662,"SNORD46"
"57","ENSG00000201098",819.876879093951,-1.9717399125261,0.345876494455666,-5.70070514803033,1.19312850962984e-08,0.000228305140317669,"RNY1"
"58","ENSG00000202408",3.10819390412176,-1.84885390350196,0.482609702367725,-3.83095054747412,0.000127649161838076,0.0288914347665305,"RNVU1-21"
"59","ENSG00000202538",7676.62528350637,-1.46894446023485,0.284587007047215,-5.16167085586989,2.4475535829093e-07,0.00117084844522424,"RNU4-2"
"60","ENSG00000206588",15272.6199066859,-0.742150562927129,0.20191250855242,-3.67560468763358,0.000237286711362964,0.040198861165015,"RNU1-28P"
"61","ENSG00000206625",16.6693872128941,-2.36758676117069,0.518546036772645,-4.56581787010889,4.97550620543765e-06,0.00410594571763199,"RNU6-1"
"62","ENSG00000206652",15272.6199066859,-0.742150562927129,0.20191250855242,-3.67560468763358,0.000237286711362964,0.040198861165015,"RNU1-1"
"63","ENSG00000206737",15182.5352951619,-0.753784012974813,0.201569848863397,-3.73956728759393,0.00018433730082799,0.0329653668349867,"RNVU1-18"
"64","ENSG00000206760",56.5674356475222,-1.30767100349008,0.332809256541881,-3.92919060328336,8.52322628502937e-05,0.022651657633894,"SNORA6"
"65","ENSG00000206811",61.6765728242001,-1.58315299468333,0.324057378693618,-4.88540949465659,1.0321411007716e-06,0.00164583499693871,"SNORA10"
"66","ENSG00000206834",7.65831862565386,-3.00912089003741,0.776293474140956,-3.87626714673506,0.000106071222581944,0.0256920613177912,"SNORA1"
"67","ENSG00000206838",60.2314754762307,-1.00473675407472,0.233584512545799,-4.30138429609165,1.69734396317891e-05,0.0104769924952995,"SNORA5A"
"68","ENSG00000206885",10.0497577698054,-1.83765986996219,0.452641493268626,-4.05985729830474,4.91027163121419e-05,0.0187916095326567,"SNORA75"
"70","ENSG00000206948",7.39545300512841,-2.21983132531338,0.542186767320464,-4.09421892807158,4.23593924061312e-05,0.0168863952852358,"SNORA36A"
"71","ENSG00000206965",16.6693872128941,-2.36758676117069,0.518546036772645,-4.56581787010889,4.97550620543765e-06,0.00410594571763199,"RNU6-5P"
"72","ENSG00000207008",3333.31347957189,-1.15398722054139,0.306858303677096,-3.76065176243599,0.000169471220377479,0.0329653668349867,"SNORA54"
"73","ENSG00000207041",16.6693872128941,-2.36758676117069,0.518546036772645,-4.56581787010889,4.97550620543765e-06,0.00410594571763199,"RNU6-3P"
"74","ENSG00000207051",41.7889511048878,-1.3660832388091,0.318342280948404,-4.29124034275079,1.77677879723492e-05,0.0106245819640907,"SNORA27"
"75","ENSG00000207233",83.2945026967458,-1.20188442490779,0.320370233802008,-3.75154835904813,0.000175745845223523,0.0329653668349867,"SNORA37"
"76","ENSG00000207304",388.228502731747,-1.66179632373057,0.320445755193471,-5.18588964527629,2.14986090499089e-07,0.00117084844522424,"SNORA8"
"78","ENSG00000207392",205.160708092437,-0.90410695576328,0.219866515156709,-4.11207206844972,3.92123844145803e-05,0.0163114994733259,"SNORA20"
"79","ENSG00000207405",158.144056590613,-1.16729422198008,0.237570667926633,-4.91346104368645,8.94825190461195e-07,0.00155658909267954,"SNORA64"
