"Contributeur","Value","Factor19_abs"
"ARAP1",-1,1
"UNC13D",-0.812506582349621,0.812506582349621
"MYO1F",-0.641176109435842,0.641176109435842
"CHST15",-0.61257242552401,0.61257242552401
"FGR",-0.6043685155493,0.6043685155493
"ATF6B",-0.597784040685021,0.597784040685021
"PARP10",-0.58983515986156,0.58983515986156
"SLC38A10",-0.569277606315277,0.569277606315277
"CUL9",-0.548533975943824,0.548533975943824
"SPECC1",-0.547325854052484,0.547325854052484
"DAPK1",-0.545437300217326,0.545437300217326
"ASAH1",-0.542036950890359,0.542036950890359
"ARHGAP27",-0.538000130663084,0.538000130663084
"LILRA6",-0.518545066563396,0.518545066563396
"NBEAL2",-0.517007768156462,0.517007768156462
"USP20",-0.51690796045159,0.51690796045159
"NCF2",-0.512273514041952,0.512273514041952
"GAB2",-0.51209200255344,0.51209200255344
"ZNF646",-0.509794221385769,0.509794221385769
"LYN",-0.507072296828744,0.507072296828744
"PKN1",-0.50392886575785,0.50392886575785
"NADK",-0.502897217742158,0.502897217742158
"NUMA1",-0.501829165102252,0.501829165102252
